"","gnn_conv","group","prefix","task","tool","target","batch","event","time","data_types","fusion","hpo_iter","early_stop_patience","features_min","feature_perc","log_transform","use_loss_weighting","finetuning_samples","method","var","variable_type","metric","value","score","top","ranking","omics","learning","finetuning"
"22","GC","ccle_vs_gdsc_Sorafenib","analysis120","ccle_vs_gdsc","GNN","Sorafenib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"GNN","Sorafenib","numerical","pearson_corr",0.454923096878251,94.8,1,2,"multi","deep_learning","with_finetuning"
"23","SAGE","ccle_vs_gdsc_Sorafenib","analysis121","ccle_vs_gdsc","GNN","Sorafenib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Sorafenib","numerical","pearson_corr",0.426158045096071,88.8,0,5,"multi","deep_learning","no_finetuning"
"24","GCN","ccle_vs_gdsc_Sorafenib","analysis123","ccle_vs_gdsc","GNN","Sorafenib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Sorafenib","numerical","pearson_corr",0.401276237459762,83.6,0,7,"multi","deep_learning","no_finetuning"
"25","GC","lgg_gbm_OS_STATUS","analysis137","lgg_gbm","GNN","",NA,"OS_STATUS","OS_MONTHS","mut,cna","early",100,10,500,20,FALSE,TRUE,100,"GNN","OS_STATUS","numerical","cindex",0.778947368421053,95.7,0,4,"multi","deep_learning","with_finetuning"
"26","SAGE","lgg_gbm_OS_STATUS","analysis138","lgg_gbm","GNN","",NA,"OS_STATUS","OS_MONTHS","mut,cna","early",100,10,500,20,FALSE,TRUE,0,"GNN","OS_STATUS","numerical","cindex",0.765343431705406,94,0,6,"multi","deep_learning","no_finetuning"
"27","GCN","lgg_gbm_OS_STATUS","analysis141","lgg_gbm","GNN","",NA,"OS_STATUS","OS_MONTHS","mut,cna","early",100,10,500,20,FALSE,TRUE,100,"GNN","OS_STATUS","numerical","cindex",0.779949022939677,95.8,0,3,"multi","deep_learning","with_finetuning"
"28","GC","metabric_CHEMOTHERAPY","analysis151","metabric","GNN","CHEMOTHERAPY",NA,"","","gex,cna","early",100,10,500,20,FALSE,TRUE,0,"GNN","CHEMOTHERAPY","categorical","f1_score",0.779785225597602,95.5,0,14,"multi","deep_learning","no_finetuning"
"29","SAGE","metabric_CHEMOTHERAPY","analysis153","metabric","GNN","CHEMOTHERAPY",NA,"","","gex,cna","early",100,10,500,20,FALSE,TRUE,0,"GNN","CHEMOTHERAPY","categorical","f1_score",0.804394204466627,98.5,0,7,"multi","deep_learning","no_finetuning"
"30","GCN","metabric_CHEMOTHERAPY","analysis155","metabric","GNN","CHEMOTHERAPY",NA,"","","gex,cna","early",100,10,500,20,FALSE,TRUE,0,"GNN","CHEMOTHERAPY","categorical","f1_score",0.813622802790549,99.6,1,2,"multi","deep_learning","no_finetuning"
"31","GC","metabric_CLAUDIN_SUBTYPE","analysis172","metabric","GNN","CLAUDIN_SUBTYPE",NA,"","","gex,cna","early",100,10,500,20,FALSE,TRUE,0,"GNN","CLAUDIN_SUBTYPE","categorical","f1_score",0.747766332513871,95.4,0,6,"multi","deep_learning","no_finetuning"
